Name	o.rank	d.rank	g.rank	bib	age
Alicia Geth	2219	84	578	1000	49
Brigitte Grandmont	991	14	141	1001	47
Penny Guyton	1705	45	356	1002	46
Lorraine Hammond	1698	43	352	1003	48
Lori Haws	1539	35	292	1004	45
Stacie Hebert	2121	76	531	1005	46
Kelly Hill	2084	72	522	1006	47
Joyce Holsten	387	4	48	1007	46
Jennifer Hoy	DNF	NA	NA	1008	46
Imei Hsu	2224	85	581	1009	49
Susie Kelly	288	7	30	100	30
Linda Hurley	497	6	64	1011	47
Nathalie Jacques	DNF	NA	NA	1012	48
Charlotte Johnson	2145	78	543	1013	48
Mary-Elizabeth Jones	1450	29	256	1014	45
Samantha Joseph	1701	44	354	1015	47
Carmella King	2122	77	532	1016	45
Sandra Konopka	1939	60	461	1017	45
Nancy Lajoie	328	3	34	1018	47
Elise Laroche	2044	68	505	1019	NA
Shannon Florea	DNF	NA	NA	101	39
Samantha Lee	1693	42	349	1020	49
Tracy Lehner	DNF	NA	NA	1021	47
Kristin Mara	2193	82	567	1022	48
Dawn Marinelli	1918	59	452	1023	46
Tamara Marston	DNF	NA	NA	1024	45
Jeanette Mccue	2236	86	585	1025	46
Michelle Mercier-Link	DNF	NA	NA	1026	49
Kimberly Messa	2215	83	576	1027	45
Sonya Misiaszek-Monterose	1828	57	410	1028	47
Kellie Nasiff	1785	52	391	1029	45
Robyn Hardage	41	1	3	102	35
Jennifer Nielsen	1271	25	207	1030	47
Kimberly Orr	2052	69	508	1031	44
Melissa Ossanna	DNF	NA	NA	1032	46
Paula Pock	2101	74	526	1034	45
Kim Pollock	1500	32	279	1035	46
Deana Porter	1823	55	408	1037	45
Susan Roman	DNF	NA	NA	1038	45
Stephanie Rose	629	7	81	1039	47
Mackenzie Yates	270	7	27	103	35
Chantil Ruud	1087	17	163	1040	44
Jennifer Sauickie	1614	40	320	1043	44
Christine Stamper	2054	70	509	1045	46
Terrie Tillman	1948	61	465	1047	48
Melinda Vaturro	1217	23	197	1049	44
Maggie Bradley	442	4	55	104	41
Michele Vesely	DNF	NA	NA	1050	47
Debbie Ward	2116	75	529	1051	45
Angelica Webb	1142	20	180	1052	44
Carole Weiland	1784	51	390	1053	45
Ayn Wilcox	1557	36	301	1054	46
Daphne Wilkinson	2179	80	561	1055	47
Cassie Winter	1345	26	226	1056	48
Suzanne Zmenak	1148	21	182	1057	48
Leslie Achtem	1047	13	151	1058	50
Judy Andrew Piel	485	4	61	1059	54
Susan Corti	475	5	59	105	46
Esther Aronson	1679	39	346	1060	51
Stephanie Ash	DNS	NA	NA	1061	50
Martha Bannock	DNF	NA	NA	1062	52
Dalene Baron	1707	41	357	1063	51
Dolores Berube	1224	21	199	1064	51
Lynda Berube	1626	34	325	1065	51
Cindy Bisson	2200	66	570	1066	49
Helene Boivin	2155	64	548	1067	52
Louise Chercuitte	1219	20	198	1068	54
Gale Chevalier	911	10	125	1069	51
Jill Kralovanec	1137	19	178	106	49
Carolyn Classen	1983	56	477	1071	52
Mary Dalaba	DNF	NA	NA	1072	51
Janet Davidson	1448	26	255	1073	53
Karen Desimone	1102	15	168	1075	52
Robyn Dicesare	1888	50	438	1076	52
Kristine Dipalo	1556	30	300	1077	52
Jesula Drouillard	1336	23	222	1078	50
Christa Dwyer	1704	40	355	1079	50
Helene Desrosiers	354	1	43	107	52
Michelle Dwyer	1997	57	483	1080	52
Gabriella Eustace	1924	54	455	1081	50
Helene Fortier	909	9	124	1082	52
Sharon Foster	1849	48	420	1083	51
Aliicia Furrer	1668	38	339	1084	49
Anne-Marie Gareau	2100	61	525	1085	49
Sophie Goldine	1244	22	203	1086	NA
Sarah Halpin	1708	42	358	1088	50
Signe Hansen	2031	59	499	1089	51
Victoria Hunter	1559	31	302	1092	53
Cynthia Johnson	1820	47	406	1094	53
Therese Johnston	1742	44	374	1095	52
Elizabeth Keachie	1778	45	387	1096	50
Katja Lackey	1891	51	439	1097	50
Michele Lalonde	1934	55	458	1098	51
Elaine Laroche	2123	62	533	1099	50
Joan Stepler	1116	16	173	109	52
Chris Leiferman	1	1	1	10	30
Sylvie Larose	DNF	NA	NA	1100	50
Debra Lazaro	1561	32	303	1101	53
Christine Leger	930	11	132	1102	49
Eileen Luxton	1633	35	328	1103	50
Erica Mantay	1153	17	184	1104	NA
Kim Martin	2154	63	547	1105	51
Kathleen Mccullough	1859	49	425	1106	53
Danielle Mcgregor	1652	37	334	1107	50
Josephine Mori-Stoodley	1174	18	188	1109	52
Anim Swart	686	6	89	110	51
Peggy Sue Moyle	DNF	NA	NA	1110	53
Katherine Nichols	419	3	51	1111	50
Lambrina Nikolaou	1643	36	331	1112	51
Mary Otto	2022	58	494	1113	50
Michele Patry	DNS	NA	NA	1114	51
Melissa Rowe	1354	24	230	1115	49
Shirley Shepardson	1735	43	371	1117	52
Janet Smith	DNF	NA	NA	1118	52
Donna Smrek	2076	60	514	1119	51
Natalie Grabow	1873	1	431	111	71
Cyndi Sniezek	1923	53	454	1120	53
Michelle Swanson	1605	33	316	1121	52
Lucie Turcotte	405	2	50	1122	50
Michele Turcotte	2214	68	575	1123	51
Diane Turgeon	1805	46	402	1124	53
Louise Valois	DNS	NA	NA	1125	53
Robin Venick	DNF	NA	NA	1126	53
Cheryl Waldron	1906	52	445	1127	50
Marce Willard	1531	28	289	1128	51
Joan Baxter	1530	9	288	1129	55
Jan Boland	1650	15	333	1130	57
Stephanie Colburn	DNF	NA	NA	1131	56
Jean Compton	1768	18	384	1132	57
Cydney Faul-Halsor	1227	6	200	1135	54
Wendy Fretz	1833	21	412	1136	55
Dawn Garlough	2042	26	504	1137	57
Mari Glamser-Samuel	DNF	NA	NA	1138	57
Michele Granger	DNF	NA	NA	1139	58
Dan Szajta	23	4	21	113	28
Brigitte Guay	1838	22	415	1140	56
Farida Kerrouche	1868	24	428	1141	NA
Denise Landry-Nadeau	1541	10	293	1142	55
Jo-Anne Lane	1607	12	317	1143	NA
Manon Mercier	1673	16	343	1145	57
Dianne Morrison	1758	17	380	1147	54
Jean Nesbitt	2250	30	589	1148	57
Brenda Oatway	1779	19	388	1149	NA
Julien Biboud	87	17	80	114	30
Candy Otoole	2030	25	498	1150	56
Cheryl Parsons	1618	13	322	1151	54
Lise Proulx	927	2	131	1152	59
Donna Richardson	1176	4	189	1153	57
Jill Schapiro	DNF	NA	NA	1154	58
Mary Smith	2135	27	538	1156	57
Janette Spring	1855	23	424	1157	55
Jill Starz	1630	14	327	1158	57
Julie Valenti	1343	8	224	1159	55
Jerome Bresson	10	1	10	115	33
Debra Vieira	DNF	NA	NA	1160	55
