bib	div	loc	country	prof	swim.dist	swim.split	swim.race	swim.pace	swim.drank	swim.grank	swim.orank	bike.dist	bike.split	bike.race	bike.pace	bike.drank	bike.grank	bike.orank	run.dist	run.split	run.race	run.pace	run.drank	run.grank	run.orank	t1	t2
1	MPRO	Thousand Oaks CA	USA	Professional Triathlete	3.8 km	58:59	58:59	1:33/100m	8	31	36	180 km	4:30:35	5:33:07	39.91 km/h	2	2	2	42.195 km	2:54:53	8:29:57	4:08/km	2	2	2	3:33	1:57
2	MPRO	Nice	FRA	Professional Triathlete	3.8 km	55:28	55:28	1:27/100m	3	12	13	180 km	4:30:33	5:29:16	39.92 km/h	1	1	1	42.195 km	--:--	--:--	--/km	--	--	--	3:15	2:08
3	MPRO	Ogdensburg NY	USA	Professional Triathlete	3.8 km	1:02:40	1:02:40	1:38/100m	10	73	91	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	4:15	--:--
4	MPRO	Boulder CO	AUS	Business Owner	3.8 km	1:02:42	1:02:42	1:39/100m	11	75	93	180 km	4:43:09	5:49:07	38.14 km/h	9	10	10	42.195 km	3:11:20	9:02:13	4:32/km	7	8	8	3:16	1:46
5	MPRO	Sydney	AUS	Attorney	3.8 km	58:48	58:48	1:32/100m	5	28	32	180 km	4:37:58	5:40:22	38.85 km/h	8	8	8	42.195 km	3:07:56	8:50:17	4:27/km	5	5	5	3:36	1:59
																											
7	MPRO	Boulder CO	AUS	Artist	3.8 km	55:22	55:22	1:27/100m	1	10	11	180 km	4:37:55	5:36:33	38.86 km/h	3	3	3	42.195 km	3:01:26	8:39:51	4:17/km	4	4	4	3:16	1:52
																											
9	MPRO	Llivia	ESP	Professional Triathlete	3.8 km	1:04:58	1:04:58	1:42/100m	13	130	164	180 km	4:50:44	6:00:32	37.15 km/h	13	17	17	42.195 km	3:06:44	9:09:06	4:25/km	8	9	9	4:50	1:50
10	MPRO	Longmont CO	USA	Professional Triathlete	3.8 km	58:56	58:56	1:33/100m	7	30	35	180 km	4:36:09	5:38:24	39.11 km/h	4	4	4	42.195 km	2:45:09	8:24:59	3:54/km	1	1	1	3:19	1:26
11	MPRO	Portland OR	USA	Professional Triathlete	3.8 km	58:54	58:54	1:33/100m	6	29	33	180 km	4:36:56	5:39:12	39.00 km/h	6	6	6	42.195 km	--:--	--:--	--/km	--	--	--	3:22	2:13
12	MPRO	Brooklyn NY	USA	Fire Fighter	3.8 km	1:05:26	1:05:26	1:43/100m	14	138	175	180 km	5:03:22	6:13:09	35.60 km/h	16	35	38	42.195 km	3:08:08	9:23:11	4:27/km	10	15	15	4:21	1:54
																											
14	MPRO	Millis MA	USA	Accountant	3.8 km	--:--	--:--	--/100m	--	--	--	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
																											
16	MPRO	Madison WI	USA	Accountant	3.8 km	--:--	--:--	--/100m	--	--	--	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
17	MPRO	Mentor OH	USA	Nurse	3.8 km	1:14:05	1:14:05	1:56/100m	20	456	567	180 km	5:06:09	6:25:16	35.28 km/h	17	69	77	42.195 km	--:--	--:--	--/km	--	--	--	5:02	2:41
18	MPRO	Brooklyn NY	USA	Fitness Consultant	3.8 km	1:11:41	1:11:41	1:53/100m	19	358	443	180 km	4:56:56	6:12:46	36.37 km/h	15	33	36	42.195 km	3:30:41	9:45:27	4:59/km	11	33	35	4:09	2:00
19	MPRO	N Huntingdon PA	USA	Professional Triathlete	3.8 km	1:02:29	1:02:29	1:38/100m	9	71	88	180 km	4:51:42	5:57:26	37.02 km/h	11	13	13	42.195 km	3:12:12	9:11:58	4:33/km	9	11	11	3:15	2:20
20	MPRO	Victoria BC	CAN	Laborer	3.8 km	58:47	58:47	1:32/100m	4	27	31	180 km	4:35:00	5:38:28	39.27 km/h	5	5	5	42.195 km	2:54:04	8:34:16	4:07/km	3	3	3	4:41	1:44
21	MPRO	Moore SC	CZE	Professional Triathlete	3.8 km	1:06:09	1:06:09	1:44/100m	16	156	199	180 km	5:02:16	6:12:44	35.73 km/h	14	32	35	42.195 km	3:40:24	9:55:05	5:13/km	12	50	53	4:19	1:57
22	MPRO	Quebec QC	CAN	Military Service - Foreig	3.8 km	1:08:50	1:08:50	1:48/100m	17	238	297	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	3:51	--:--
																											
24	MPRO	Richmond VA	USA	Professional Triathlete	3.8 km	55:27	55:27	1:27/100m	2	11	12	180 km	4:41:07	5:40:20	38.42 km/h	7	7	7	42.195 km	3:10:38	8:52:38	4:31/km	6	6	6	3:46	1:40
																											
26	MPRO	Saint-Lambert QC	CAN	Student	3.8 km	1:08:50	1:08:50	1:48/100m	18	240	299	180 km	5:28:27	6:44:28	32.88 km/h	18	172	185	42.195 km	3:19:07	10:06:16	4:43/km	13	72	77	7:11	2:41
27	MPRO	Vancouver BC	CAN	Attorney	3.8 km	1:04:54	1:04:54	1:42/100m	12	128	162	180 km	4:48:40	5:57:55	37.41 km/h	12	14	14	42.195 km	5:59:12	12:00:22	8:30/km	14	578	664	4:21	3:15
28	MPRO	Richmond VA	USA	Teacher	3.8 km	1:06:02	1:06:02	1:44/100m	15	152	195	180 km	4:40:52	5:51:30	38.45 km/h	10	12	12	42.195 km	--:--	--:--	--/km	--	--	--	4:36	15:22
																											
																											
																											
																											
																											
																											
35	FPRO	Andover MA	USA	Business Owner	3.8 km	1:00:59	1:00:59	1:36/100m	2	9	61	180 km	4:59:24	6:05:30	36.07 km/h	1	3	24	42.195 km	3:18:48	9:26:37	4:42/km	1	1	16	5:07	2:19
36	FPRO	Enid OK	USA	Professional Triathlete	3.8 km	58:38	58:38	1:32/100m	1	4	27	180 km	5:21:21	6:24:04	33.61 km/h	4	6	70	42.195 km	4:31:51	10:58:14	6:26/km	7	23	250	4:05	2:19
																											
																											
39	FPRO	Santa Monica CA	USA	Professional Triathlete	3.8 km	1:03:44	1:03:44	1:40/100m	3	28	123	180 km	5:09:14	6:17:57	34.93 km/h	2	4	52	42.195 km	3:11:51	9:32:45	4:32/km	2	2	21	4:59	2:57
40	FPRO	Concord NH	USA	Physical Therapist	3.8 km	1:05:48	1:05:48	1:43/100m	4	39	187	180 km	5:14:37	6:24:42	34.33 km/h	5	8	74	42.195 km	3:38:04	10:05:15	5:10/km	4	5	75	4:17	2:29
																											
42	FPRO	Cottonwood Heights UT	USA	Waitress	3.8 km	1:20:10	1:20:10	2:06/100m	9	214	1030	180 km	5:52:19	7:19:09	30.65 km/h	10	69	598	42.195 km	3:49:32	11:12:03	5:26/km	9	33	312	6:40	3:22
																											
44	FPRO	Tulsa OK	USA	Professional Triathlete	3.8 km	1:05:49	1:05:49	1:43/100m	5	40	188	180 km	5:28:14	6:37:45	32.90 km/h	6	10	144	42.195 km	3:20:25	10:00:43	4:44/km	3	4	64	3:42	2:33
45	FPRO	Montreal QC	CAN	Professional Triathlete	3.8 km	1:14:01	1:14:01	1:56/100m	8	111	565	180 km	5:42:57	7:01:19	31.49 km/h	8	33	358	42.195 km	4:26:09	11:30:17	6:18/km	10	52	437	4:21	2:49
46	FPRO	Quebec QC	CAN	Teacher	3.8 km	1:05:52	1:05:52	1:44/100m	7	42	190	180 km	5:37:11	6:46:41	32.03 km/h	7	16	203	42.195 km	3:19:05	10:07:47	4:43/km	6	7	83	3:38	2:01
47	FPRO	Portland OR	USA	Consultant	3.8 km	1:20:57	1:20:57	2:07/100m	10	227	1084	180 km	5:51:33	7:17:58	30.72 km/h	9	65	572	42.195 km	3:40:29	11:00:58	5:13/km	8	26	260	5:28	2:31
48	FPRO	Naperville IL	USA	Attorney	3.8 km	1:05:51	1:05:51	1:43/100m	6	41	189	180 km	5:13:21	6:23:02	34.47 km/h	3	5	66	42.195 km	3:41:39	10:06:50	5:15/km	5	6	79	3:50	2:09
																											
																											
																											
																											
																											
																											
																											
																											
																											
58	M40-44	Great Falls VA	USA	Consultant	3.8 km	1:15:12	1:15:12	1:58/100m	105	510	636	180 km	5:24:44	6:46:05	33.26 km/h	38	182	197	42.195 km	4:10:56	11:00:53	5:56/km	56	234	259	6:09	3:52
59	M45-49	Brussels	CAN	Attorney	3.8 km	1:23:20	1:23:20	2:11/100m	161	982	1241	180 km	5:46:46	7:17:49	31.14 km/h	77	507	570	42.195 km	4:48:00	12:11:47	6:49/km	106	661	758	7:43	5:58
60	M50-54	Englewood NJ	USA	Marketing	3.8 km	1:18:46	1:18:46	2:04/100m	72	725	901	180 km	5:25:31	6:52:09	33.18 km/h	13	240	264	42.195 km	5:09:02	12:07:10	7:19/km	55	623	716	7:52	5:59
61	M55-59	Addison TX	USA	Business Owner	3.8 km	1:10:15	1:10:15	1:50/100m	7	287	361	180 km	5:55:58	7:12:49	30.34 km/h	15	446	496	42.195 km	5:02:46	12:20:58	7:10/km	25	717	822	6:36	5:23
62	M55-59	Cos Cob CT	GBR	Consultant	3.8 km	1:21:30	1:21:30	2:08/100m	44	891	1122	180 km	5:38:00	7:06:53	31.95 km/h	11	371	411	42.195 km	4:51:14	12:02:11	6:54/km	18	588	675	7:23	4:04
																											
																											
65	M45-49	Manakin Sabot VA	USA	Physician	3.8 km	1:15:14	1:15:14	1:58/100m	84	512	638	180 km	5:48:16	7:09:44	31.01 km/h	61	414	460	42.195 km	4:04:07	11:17:15	5:47/km	42	306	347	6:14	3:24
66	M40-44	Menlo Park CA	USA	Business Executive	3.8 km	1:21:43	1:21:43	2:09/100m	201	909	1141	180 km	5:39:14	7:08:08	31.84 km/h	98	394	438	42.195 km	4:01:21	11:13:35	5:43/km	64	287	320	7:11	4:06
67	M50-54	Tulsa OK	USA	Business Executive	3.8 km	1:14:36	1:14:36	1:57/100m	45	478	593	180 km	5:46:31	7:08:19	31.17 km/h	32	400	445	42.195 km	4:06:48	11:17:33	5:50/km	22	307	348	7:12	2:26
68	M55-59	New York NY	USA	Accountant	3.8 km	1:25:40	1:25:40	2:15/100m	57	1100	1396	180 km	6:12:04	7:44:51	29.03 km/h	36	825	938	42.195 km	5:07:13	12:56:54	7:16/km	42	926	1091	7:07	4:50
																											
																											
71	M30-34	Ponte Vedra FL	USA	Business Executive	3.8 km	1:08:41	1:08:41	1:48/100m	35	230	288	180 km	6:03:21	7:19:34	29.72 km/h	74	533	602	42.195 km	3:43:25	11:08:37	5:17/km	44	262	292	7:32	5:38
72	M35-39	New York NY	USA	Investment Management	3.8 km	1:16:36	1:16:36	2:00/100m	99	602	741	180 km	6:24:32	7:49:08	28.09 km/h	144	870	999	42.195 km	4:10:56	12:04:47	5:56/km	106	604	695	8:00	4:43
73	M45-49	Kennesaw GA	USA	Management	3.8 km	1:28:14	1:28:14	2:19/100m	215	1204	1562	180 km	6:49:08	8:29:31	26.40 km/h	226	1273	1537	42.195 km	4:11:45	12:49:15	5:57/km	148	886	1034	12:09	7:59
																											
75	M45-49	New York NY	DEU	Investment Management	3.8 km	1:31:16	1:31:16	2:24/100m	240	1316	1722	180 km	5:28:08	7:08:18	32.91 km/h	56	399	443	42.195 km	3:58:59	11:12:57	5:39/km	35	284	317	8:54	5:40
76	M45-49	Houston TX	USA	Business Owner	3.8 km	1:24:15	1:24:15	2:13/100m	171	1019	1290	180 km	6:59:52	8:33:41	25.72 km/h	233	1308	1592	42.195 km	5:11:02	13:53:43	7:22/km	217	1247	1538	9:34	9:00
77	M35-39	Bridgehampton NY	USA	Banker	3.8 km	1:22:42	1:22:42	2:10/100m	149	952	1200	180 km	5:28:24	6:59:50	32.89 km/h	54	306	336	42.195 km	3:47:20	10:52:34	5:23/km	38	206	225	8:44	5:24
78	M55-59	Bremen IN	USA	Insurance	3.8 km	1:20:37	1:20:37	2:07/100m	39	843	1062	180 km	6:03:35	7:33:27	29.70 km/h	30	712	802	42.195 km	5:08:44	12:47:51	7:19/km	40	878	1024	9:15	5:40
79	M60-64	Beauharnois QC	CAN	Other	3.8 km	1:25:26	1:25:26	2:14/100m	20	1092	1382	180 km	5:41:22	7:13:58	31.64 km/h	6	462	514	42.195 km	4:00:10	11:18:06	5:41/km	3	309	350	7:10	3:58
																											
																											
																											
83	M45-49	Bedford NH	USA	Management	3.8 km	1:40:16	1:40:16	2:38/100m	280	1548	2059	180 km	6:12:42	7:58:59	28.98 km/h	171	1004	1155	42.195 km	4:18:06	12:21:24	6:07/km	114	721	826	6:01	4:19
84	M45-49	Brookline NH	USA	Sales Manager	3.8 km	1:24:59	1:24:59	2:14/100m	184	1064	1344	180 km	6:40:02	8:14:50	27.00 km/h	201	1153	1357	42.195 km	5:24:41	13:47:09	7:41/km	212	1220	1497	9:49	7:38
85	M40-44	Goffstown NH	USA	Nurse	3.8 km	1:40:23	1:40:23	2:38/100m	312	1554	2066	180 km	5:59:53	7:50:55	30.01 km/h	204	900	1032	42.195 km	4:19:17	12:17:55	6:08/km	165	689	791	10:39	7:43
86	M40-44	Andover MA	DNK	Business Executive	3.8 km	1:20:33	1:20:33	2:07/100m	188	840	1057	180 km	5:40:40	7:08:18	31.70 km/h	99	398	442	42.195 km	4:24:55	11:36:51	6:16/km	97	414	472	7:05	3:38
87	M35-39	Landmark MB	CAN	Other	3.8 km	1:38:45	1:38:45	2:35/100m	224	1513	2002	180 km	6:56:59	8:43:54	25.90 km/h	204	1380	1708	42.195 km	5:03:58	13:52:06	7:12/km	196	1242	1529	8:10	4:14
																											
89	F50-54	Kennebunk ME	USA		3.8 km	1:36:07	1:36:07	2:31/100m	48	464	1917	180 km	8:09:08	9:56:24	22.08 km/h	63	565	2254	42.195 km	6:22:40	16:25:38	9:04/km	67	573	2209	11:09	6:34
90	M55-59	Flossmoor IL	USA		3.8 km	1:28:29	1:28:29	2:19/100m	65	1210	1576	180 km	5:52:54	7:30:08	30.60 km/h	28	669	751	42.195 km	5:00:13	12:36:28	7:06/km	33	805	938	8:45	6:07
91	M40-44	Miami FL	USA		3.8 km	1:51:33	1:51:33	2:56/100m	346	1695	2281	180 km	7:02:29	9:07:03	25.56 km/h	322	1508	1928	42.195 km	5:30:25	14:47:21	7:49/km	305	1424	1840	13:01	9:53
																											
																											
																											
																											
																											
97	F18-24	Mont-Royal QC	CAN	Student	3.8 km	1:16:05	1:16:05	2:00/100m	4	133	697	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	7:35	--:--
98	F25-29	Trois-Rivieres QC	CAN	Physician	3.8 km	1:07:43	1:07:43	1:46/100m	6	55	248	180 km	5:26:26	6:39:07	33.08 km/h	1	11	148	42.195 km	3:30:09	10:11:24	4:58/km	1	9	91	4:58	2:08
99	F25-29	Washington DC	USA	Physical Therapist	3.8 km	1:26:11	1:26:11	2:16/100m	33	304	1418	180 km	5:44:37	7:17:16	31.34 km/h	9	63	565	42.195 km	4:36:48	11:56:14	6:33/km	9	82	630	6:28	2:10
100	F30-34	Atlanta GA	USA	Nurse	3.8 km	1:07:24	1:07:24	1:46/100m	13	52	235	180 km	5:39:09	6:52:00	31.84 km/h	4	24	260	42.195 km	4:12:25	11:07:46	5:58/km	7	30	288	5:27	3:21
101	F35-39	Lexington KY	USA	Physician	3.8 km	1:06:13	1:06:13	1:44/100m	10	46	203	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	6:28	--:--
102	F35-39	Ottawa ON	CAN	Other	3.8 km	1:03:02	1:03:02	1:39/100m	5	21	99	180 km	5:16:38	6:24:06	34.11 km/h	1	7	71	42.195 km	3:25:10	9:51:19	4:51/km	1	3	41	4:26	2:03
103	F35-39	Washington DC	USA	Other	3.8 km	1:09:00	1:09:00	1:48/100m	15	61	305	180 km	5:36:35	6:51:34	32.09 km/h	5	23	257	42.195 km	4:09:01	11:04:16	5:54/km	7	27	270	5:59	3:41
104	F40-44	Newtown Square PA	USA	Other	3.8 km	1:17:13	1:17:13	2:01/100m	23	149	777	180 km	6:07:25	7:32:51	29.39 km/h	8	90	796	42.195 km	3:54:44	11:30:55	5:33/km	4	55	442	8:13	3:20
105	F45-49	Westlake Village CA	USA	Homemaker	3.8 km	1:08:57	1:08:57	1:48/100m	7	60	304	180 km	5:57:14	7:12:29	30.23 km/h	5	50	488	42.195 km	4:20:59	11:37:04	6:11/km	5	59	475	6:18	3:36
106	F45-49	Tampa FL	USA	Homemaker	3.8 km	1:17:00	1:17:00	2:01/100m	15	144	764	180 km	6:15:47	7:39:11	28.74 km/h	11	99	869	42.195 km	5:19:44	13:02:38	7:34/km	19	178	1137	6:24	3:43
107	F50-54	Oakville ON	CAN	Other	3.8 km	1:20:03	1:20:03	2:06/100m	17	210	1020	180 km	5:45:29	7:12:26	31.26 km/h	2	49	487	42.195 km	4:02:32	11:18:28	5:44/km	1	43	354	6:54	3:30
																											
109	F50-54	McKinney TX	USA	Homemaker	3.8 km	1:40:34	1:40:34	2:38/100m	56	517	2078	180 km	6:02:12	7:50:28	29.82 km/h	10	131	1025	42.195 km	5:04:48	13:00:04	7:13/km	16	173	1116	7:42	4:48
110	F50-54	Montreal QC	CAN	Consultant	3.8 km	1:14:26	1:14:26	1:57/100m	8	112	583	180 km	5:58:36	7:18:05	30.12 km/h	3	66	575	42.195 km	4:42:52	12:03:42	6:42/km	6	89	686	5:03	2:45
