Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	1	158	180	01:03:06	05:35:01	04:00:03	10:45:27	5000
USA	2	164	186	01:09:08	05:36:33	03:52:15	10:47:02	4981
USA	5	308	349	01:03:41	06:04:29	04:02:24	11:19:24	4592
USA	9	328	371	01:14:16	05:24:59	04:35:25	11:23:48	4539
USA	11	350	397	00:59:58	05:41:41	04:24:44	11:27:06	4500
USA	24	876	1056	00:49:45	06:32:08	05:11:53	12:49:24	3512
USA	25	920	1114	01:02:27	06:13:47	05:27:18	12:57:15	3418
USA	33	1109	1382	01:10:33	06:59:31	05:09:12	13:35:08	2963
USA	35	1142	1435	01:14:28	07:33:13	04:34:51	13:42:10	2879
USA	38	1261	1606	01:09:09	06:35:26	06:01:46	14:08:45	2560
USA	39	1283	1634	01:08:16	07:03:11	05:43:51	14:15:47	2476
USA	42	1442	1877	01:17:41	07:54:41	05:36:38	15:03:18	1905
