Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	5	37	43	01:06:36	04:59:33	03:28:17	09:41:30	4614
USA	6	48	55	00:59:31	04:51:08	03:49:32	09:46:30	4554
USA	8	57	66	01:03:04	05:13:19	03:28:53	09:52:25	4483
USA	10	74	89	01:04:12	05:07:32	03:48:53	10:07:44	4299
USA	13	94	110	01:12:35	05:41:07	03:17:59	10:19:34	4157
USA	14	100	117	01:12:40	05:18:41	03:44:47	10:22:54	4117
USA	16	104	121	01:19:05	05:20:35	03:37:45	10:25:18	4088
USA	17	106	123	01:05:24	05:19:44	03:55:05	10:26:15	4077
USA	20	132	153	01:00:32	05:27:44	03:56:52	10:33:52	3985
USA	22	142	164	01:13:02	05:18:36	03:59:01	10:39:10	3922
USA	26	160	182	01:21:18	05:27:17	03:48:20	10:45:49	3842
USA	28	178	201	01:05:36	05:31:30	04:04:43	10:50:19	3788
USA	29	193	219	01:03:06	05:28:17	04:14:43	10:54:00	3744
USA	30	200	226	01:00:25	05:50:08	03:55:02	10:55:37	3724
USA	31	202	228	01:01:36	05:50:08	03:50:47	10:56:31	3714
USA	37	245	275	00:58:39	05:23:30	04:35:50	11:05:05	3611
USA	45	295	334	01:09:30	05:59:11	04:00:31	11:16:47	3470
USA	46	297	336	00:59:31	05:43:49	04:21:21	11:16:51	3470
USA	47	304	345	01:22:37	05:50:42	03:54:09	11:19:01	3444
USA	50	333	376	01:25:54	05:37:39	04:12:28	11:24:23	3379
USA	51	336	381	01:19:01	05:51:27	04:02:43	11:25:31	3366
USA	52	342	389	01:01:14	05:55:16	04:20:00	11:26:27	3354
USA	55	366	413	01:00:16	05:22:48	04:59:14	11:29:29	3318
USA	58	391	444	01:14:51	05:59:27	04:09:22	11:33:20	3272
USA	63	429	495	01:17:49	05:41:55	04:29:19	11:40:51	3182
USA	67	447	517	01:14:15	06:10:19	04:09:37	11:43:44	3147
USA	69	459	533	01:10:52	05:32:53	04:49:24	11:45:23	3127
USA	70	461	536	01:19:27	06:00:32	04:12:36	11:45:35	3125
USA	72	486	569	01:03:19	05:47:57	04:50:03	11:49:40	3076
USA	74	511	595	01:17:11	05:52:54	04:30:21	11:52:53	3037
USA	76	549	643	01:08:38	05:50:15	04:50:07	11:58:26	2971
USA	78	561	660	01:29:10	05:37:55	04:41:02	12:01:02	2939
USA	82	580	685	01:12:29	06:04:36	04:36:35	12:04:24	2899
USA	83	583	688	01:16:51	06:26:00	04:11:18	12:04:52	2893
USA	86	596	709	01:05:29	05:53:02	04:54:19	12:07:33	2861
USA	89	617	734	01:23:33	06:24:09	04:11:58	12:10:14	2829
USA	90	620	738	01:22:23	05:36:25	04:56:28	12:10:55	2821
USA	92	640	761	00:58:02	06:23:33	04:39:59	12:13:40	2788
USA	94	660	786	01:30:52	05:54:09	04:41:20	12:17:32	2741
USA	95	666	795	01:13:28	05:51:24	05:03:15	12:18:44	2727
USA	97	692	823	01:20:42	06:11:28	04:37:47	12:23:11	2674
USA	99	698	831	01:11:20	05:33:02	05:30:08	12:23:41	2668
USA	104	751	894	01:14:34	06:01:12	04:37:01	12:31:56	2569
USA	108	818	978	01:11:59	05:49:01	05:24:31	12:41:02	2459
USA	113	868	1046	01:26:06	06:12:03	05:00:08	12:47:58	2376
USA	115	875	1055	01:12:16	06:22:33	05:01:10	12:49:15	2361
USA	118	889	1075	01:16:53	06:19:06	05:03:19	12:52:22	2323
USA	121	944	1149	01:22:36	06:11:28	05:17:15	13:01:29	2214
USA	122	952	1162	01:12:51	06:30:49	04:59:14	13:03:54	2185
USA	124	966	1181	01:36:25	06:10:30	05:06:42	13:07:11	2146
USA	126	973	1192	01:12:44	06:27:50	05:12:42	13:08:42	2127
USA	128	992	1216	01:21:58	05:48:07	05:39:50	13:11:46	2091
USA	129	995	1219	01:26:35	06:17:58	05:08:53	13:11:50	2090
USA	130	999	1226	01:23:43	06:24:20	04:53:40	13:13:02	2075
USA	131	1000	1227	01:27:21	06:24:18	04:53:39	13:13:02	2075
USA	133	1008	1237	01:16:19	06:33:00	05:12:23	13:14:26	2059
USA	134	1009	1238	01:15:19	06:55:09	04:49:16	13:14:30	2058
USA	135	1021	1253	00:57:21	06:21:41	05:42:23	13:16:39	2032
USA	138	1028	1261	01:12:14	06:39:49	05:10:22	13:17:49	2018
USA	139	1032	1265	01:07:34	06:12:29	05:41:14	13:18:18	2012
USA	140	1039	1273	01:13:19	06:11:01	05:42:14	13:19:35	1997
USA	141	1051	1289	01:29:07	06:51:21	04:48:47	13:23:02	1955
USA	142	1062	1310	01:42:52	06:14:06	05:13:20	13:25:27	1926
USA	143	1063	1311	01:14:03	06:03:14	05:46:38	13:25:36	1925
USA	147	1102	1374	01:22:00	06:38:42	05:14:58	13:34:22	1819
USA	152	1175	1480	01:17:33	06:40:36	05:34:36	13:47:55	1657
USA	154	1183	1491	01:24:26	06:31:03	05:36:54	13:49:28	1638
USA	155	1203	1517	01:17:01	07:25:39	04:47:45	13:54:10	1582
USA	160	1241	1578	01:15:50	06:50:32	05:41:17	14:03:54	1465
USA	161	1252	1592	01:19:23	06:49:38	05:45:29	14:06:34	1433
USA	162	1259	1604	01:04:02	07:27:18	05:16:59	14:08:40	1408
USA	163	1260	1605	01:04:01	07:28:19	05:16:59	14:08:40	1408
USA	164	1276	1625	01:42:15	06:26:28	05:51:52	14:14:03	1343
USA	168	1344	1732	01:26:48	07:15:18	05:23:42	14:32:49	1118
USA	169	1371	1773	01:13:11	07:14:27	05:55:00	14:41:28	1014
USA	170	1374	1779	00:54:26	07:17:48	06:14:20	14:42:23	1003
