Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	1	1	12	00:50:22	04:53:21	03:20:02	09:09:05	5000
USA	3	3	15	01:04:30	05:02:47	03:00:37	09:13:45	4944
USA	4	4	19	00:54:55	05:14:59	03:04:37	09:20:09	4867
USA	6	6	39	01:04:51	05:02:16	03:26:05	09:39:16	4637
USA	7	7	46	00:55:51	05:16:16	03:24:54	09:42:33	4598
USA	8	8	63	01:00:32	05:11:59	03:31:56	09:51:04	4496
USA	1	10	70	01:09:52	05:06:37	03:32:23	09:55:40	5000
USA	12	13	86	00:55:17	05:21:23	03:41:51	10:05:27	4323
USA	13	15	88	01:02:53	05:16:23	03:41:27	10:06:02	4316
USA	1	17	111	01:07:36	05:20:16	03:44:50	10:20:22	5000
USA	15	20	136	01:02:55	05:31:31	03:48:32	10:28:53	4042
USA	16	21	146	01:00:19	05:20:03	04:04:10	10:31:09	4015
USA	4	23	197	01:05:03	05:40:13	03:56:58	10:49:46	4350
USA	2	26	217	01:07:25	05:47:49	03:50:02	10:53:39	4984
USA	2	27	229	01:08:40	05:30:17	04:09:06	10:56:40	4939
USA	1	29	244	01:28:01	05:36:05	03:47:45	11:00:08	5000
USA	6	31	277	01:18:02	06:08:05	03:24:35	11:05:21	4163
USA	7	32	281	01:17:00	05:39:55	04:00:05	11:05:44	4159
USA	4	33	288	01:01:44	05:43:56	04:11:06	11:07:02	4824
USA	5	34	291	01:04:07	05:20:41	04:33:56	11:08:03	4812
USA	2	36	301	01:10:49	05:53:36	03:57:34	11:10:05	4880
USA	8	39	323	01:14:49	05:49:37	04:02:48	11:14:33	4053
USA	2	40	342	01:19:49	05:57:19	03:53:41	11:18:15	4305
USA	9	41	344	01:11:50	05:51:23	04:07:45	11:19:01	3999
USA	5	42	361	01:06:15	05:44:32	04:21:09	11:21:26	4091
USA	7	43	364	01:13:20	05:37:21	04:20:03	11:22:05	4643
USA	6	44	377	01:13:39	05:51:39	04:08:40	11:24:50	4050
USA	8	45	378	00:56:32	06:07:49	04:12:04	11:25:01	4608
USA	4	47	385	01:10:47	05:37:53	04:27:56	11:25:55	4213
USA	1	48	414	01:02:40	05:40:36	04:37:31	11:29:43	5000
USA	5	49	426	01:11:05	05:52:54	04:18:36	11:30:44	4155
USA	3	51	433	01:18:14	05:49:37	04:17:05	11:32:20	4613
USA	4	53	437	01:07:05	05:49:56	04:26:44	11:32:27	4612
USA	6	57	460	01:21:33	06:04:16	04:00:21	11:36:04	4091
USA	17	59	466	00:52:09	05:41:26	04:57:00	11:36:38	3229
