Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	1	1	1	00:51:33	04:25:01	02:55:53	08:17:37	5000
USA	2	2	2	00:51:39	04:41:50	02:57:41	08:36:12	4777
USA	4	4	4	00:50:08	04:38:27	03:07:27	08:41:33	4712
USA	8	9	9	00:58:15	04:51:30	03:05:28	09:00:15	4488
USA	9	10	10	01:01:26	04:48:31	03:07:33	09:03:22	4451
USA	10	11	11	00:56:24	04:49:56	03:13:03	09:05:23	4426
USA	11	14	17	00:58:03	04:57:16	03:15:35	09:17:48	4277
USA	13	17	21	00:55:09	04:56:23	03:26:12	09:23:18	4211
USA	2	18	22	01:00:10	05:06:34	03:11:15	09:24:13	4975
USA	2	20	24	00:57:30	05:02:44	03:20:08	09:26:58	4610
USA	1	27	31	01:06:33	05:03:13	03:13:55	09:31:32	5000
USA	4	29	33	01:02:48	05:05:24	03:16:47	09:32:44	4541
USA	17	30	34	00:57:59	04:58:05	03:30:16	09:33:17	4092
USA	2	31	35	00:56:50	05:12:40	03:18:49	09:35:33	4951
USA	3	32	36	01:04:13	05:11:17	03:13:32	09:37:18	4930
USA	5	34	40	01:01:54	05:19:20	03:11:30	09:39:18	4794
USA	5	37	43	01:06:36	04:59:33	03:28:17	09:41:30	4614
USA	8	46	53	01:03:34	04:58:36	03:36:24	09:45:42	4385
USA	6	48	55	00:59:31	04:51:08	03:49:32	09:46:30	4554
USA	7	52	59	01:09:44	05:06:53	03:24:33	09:49:24	4673
USA	8	53	60	01:00:05	04:51:02	03:52:53	09:49:37	4670
USA	8	57	66	01:03:04	05:13:19	03:28:53	09:52:25	4483
USA	9	58	67	01:02:05	05:27:25	03:17:30	09:54:14	4615
USA	13	60	69	01:06:28	04:51:01	03:50:21	09:54:40	4722
USA	1	63	74	01:08:03	05:09:53	03:32:04	09:56:57	5000
USA	10	64	75	01:03:46	04:58:58	03:47:33	09:57:01	4582
USA	5	66	78	01:04:05	05:11:30	03:33:11	09:58:51	4772
USA	12	68	80	01:04:57	05:18:12	03:25:31	09:59:02	4225
USA	13	69	81	01:04:01	05:17:10	03:30:52	09:59:41	4218
USA	12	72	84	00:51:00	05:27:01	03:37:40	10:02:45	4513
USA	10	74	89	01:04:12	05:07:32	03:48:53	10:07:44	4299
USA	2	77	92	01:06:23	05:19:04	03:36:13	10:09:25	4838
USA	14	78	93	00:59:23	05:16:54	03:46:46	10:10:33	4087
USA	13	84	99	01:06:36	05:14:00	03:47:17	10:14:35	4371
USA	18	89	105	01:06:12	05:17:08	03:47:47	10:17:35	4447
USA	7	92	108	00:58:41	05:20:43	03:51:54	10:18:52	4531
USA	13	94	110	01:12:35	05:41:07	03:17:59	10:19:34	4157
USA	4	95	112	01:01:16	05:29:17	03:42:18	10:21:23	4706
USA	9	96	113	01:04:33	05:00:43	04:08:44	10:21:40	4498
USA	5	99	116	01:02:23	05:11:06	03:59:50	10:22:41	4691
USA	14	100	117	01:12:40	05:18:41	03:44:47	10:22:54	4117
USA	21	103	120	01:05:11	05:27:09	03:42:42	10:24:04	4369
USA	16	104	121	01:19:05	05:20:35	03:37:45	10:25:18	4088
USA	15	105	122	00:56:02	05:17:15	04:04:30	10:25:30	4240
USA	17	106	123	01:05:24	05:19:44	03:55:05	10:26:15	4077
USA	16	108	125	01:08:21	05:12:44	03:55:47	10:26:37	4226
USA	10	109	126	01:18:53	05:05:01	03:51:04	10:26:50	4436
USA	19	111	129	01:01:31	05:13:47	04:04:37	10:27:22	3885
USA	11	112	130	01:05:42	05:23:57	03:40:11	10:28:04	4421
USA	19	116	135	01:02:06	05:46:42	03:32:30	10:28:52	4199
USA	23	117	137	00:56:21	05:34:02	03:50:18	10:28:57	4311
USA	24	118	138	01:06:05	05:27:30	03:47:44	10:29:42	4302
USA	25	120	140	01:02:40	05:22:56	03:55:34	10:30:28	4292
USA	26	121	141	01:07:18	05:16:30	03:58:15	10:30:31	4292
USA	12	122	142	01:04:43	05:31:15	03:44:09	10:30:35	4391
USA	13	123	143	01:09:14	05:26:08	03:44:50	10:30:41	4390
USA	20	127	148	00:58:07	05:48:26	03:37:18	10:32:33	4155
USA	20	132	153	01:00:32	05:27:44	03:56:52	10:33:52	3985
USA	28	135	156	01:05:20	05:21:40	03:58:22	10:34:01	4250
USA	16	136	157	00:57:01	05:28:14	03:59:28	10:34:05	4349
USA	29	139	160	01:06:19	05:22:25	04:02:23	10:38:23	4197
USA	22	142	164	01:13:02	05:18:36	03:59:01	10:39:10	3922
USA	19	148	170	01:05:30	05:26:47	04:01:31	10:42:27	4248
USA	21	150	172	01:14:08	05:24:42	03:55:37	10:42:56	4243
USA	1	158	180	01:03:06	05:35:01	04:00:03	10:45:27	5000
USA	26	160	182	01:21:18	05:27:17	03:48:20	10:45:49	3842
USA	30	162	184	01:14:45	05:28:54	03:55:20	10:46:21	3658
USA	2	164	186	01:09:08	05:36:33	03:52:15	10:47:02	4981
USA	22	173	195	00:56:26	05:49:22	03:54:19	10:49:08	4168
USA	28	178	201	01:05:36	05:31:30	04:04:43	10:50:19	3788
USA	26	187	211	00:54:41	05:55:02	03:52:02	10:52:19	3918
USA	27	188	213	01:11:40	05:34:36	03:57:48	10:52:31	3916
USA	3	190	215	01:05:18	05:36:05	04:03:11	10:53:30	4309
USA	29	193	219	01:03:06	05:28:17	04:14:43	10:54:00	3744
USA	28	194	220	01:08:27	05:33:31	04:00:47	10:54:09	3896
USA	30	199	225	01:04:45	05:27:34	04:13:07	10:55:14	4095
USA	30	200	226	01:00:25	05:50:08	03:55:02	10:55:37	3724
USA	31	202	228	01:01:36	05:50:08	03:50:47	10:56:31	3714
USA	44	212	240	01:07:10	05:17:40	04:27:07	10:59:13	3503
USA	37	215	243	01:21:38	05:46:48	03:40:59	11:00:04	3937
USA	46	216	245	01:07:24	05:26:41	04:16:27	11:00:31	3488
USA	35	225	254	01:09:21	05:17:15	04:25:07	11:02:01	4014
USA	39	228	258	00:57:42	05:25:30	04:32:12	11:02:36	3907
USA	31	233	263	00:57:56	05:48:07	04:07:05	11:03:22	3785
USA	41	235	265	01:11:24	05:24:56	04:17:45	11:03:38	3894
USA	32	237	267	01:02:12	05:47:50	04:00:12	11:03:49	3780
USA	39	239	269	01:03:59	05:36:01	04:15:21	11:03:56	3991
USA	41	242	272	01:05:44	05:31:32	04:16:57	11:04:49	3980
USA	33	244	274	01:08:36	05:28:03	04:20:52	11:04:57	3766
USA	37	245	275	00:58:39	05:23:30	04:35:50	11:05:05	3611
USA	16	246	276	01:05:05	05:25:54	04:27:29	11:05:11	4181
USA	43	250	282	00:53:23	05:33:54	04:27:16	11:06:02	3965
USA	35	252	284	01:06:02	05:52:17	03:47:20	11:06:13	3751
USA	36	253	285	01:09:06	05:13:09	04:36:58	11:06:13	3751
USA	53	255	287	01:06:34	05:45:03	04:03:56	11:06:44	3413
USA	54	257	290	01:05:50	05:32:55	04:20:37	11:07:35	3403
USA	44	259	293	01:09:41	05:37:39	04:09:45	11:08:25	3937
USA	45	261	295	01:12:00	05:43:20	04:04:16	11:09:32	3923
USA	45	263	298	01:02:26	05:07:40	04:53:22	11:09:43	3821
USA	48	266	302	01:25:28	05:26:52	04:05:41	11:10:08	3816
USA	49	267	303	01:07:14	05:49:52	04:04:46	11:10:17	3815
USA	56	268	304	01:08:17	05:17:33	04:35:38	11:10:49	3364
USA	50	271	307	01:02:14	05:37:32	04:21:58	11:11:23	3801
USA	58	273	309	01:12:10	06:03:48	03:42:29	11:11:25	3357
USA	46	274	310	01:19:36	05:24:02	04:14:21	11:11:37	3898
USA	47	276	312	01:09:48	05:43:11	04:07:11	11:12:04	3893
USA	59	277	313	01:09:54	05:32:07	04:21:09	11:12:11	3348
USA	61	279	315	01:13:59	05:47:58	04:01:36	11:13:00	3338
USA	5	282	319	01:02:13	05:28:20	04:26:10	11:13:36	4068
USA	53	283	321	01:10:25	05:57:40	03:57:29	11:13:53	3771
USA	48	284	322	01:13:26	05:34:27	04:09:35	11:14:02	3869
USA	63	285	324	01:09:56	05:45:54	04:05:36	11:15:19	3310
USA	49	286	325	01:14:09	05:14:16	04:34:34	11:15:35	3851
USA	37	288	327	01:05:55	05:39:04	04:20:21	11:15:37	3638
USA	18	289	328	01:13:19	05:41:18	04:10:08	11:15:47	4054
USA	38	294	333	01:21:33	05:50:09	03:46:32	11:16:41	3626
USA	45	295	334	01:09:30	05:59:11	04:00:31	11:16:47	3470
USA	65	296	335	01:14:50	05:35:47	04:13:53	11:16:50	3292
USA	46	297	336	00:59:31	05:43:49	04:21:21	11:16:51	3470
USA	39	299	338	01:12:51	05:46:34	04:08:25	11:17:29	3616
USA	20	303	343	01:09:52	05:24:05	04:34:28	11:18:44	4018
USA	47	304	345	01:22:37	05:50:42	03:54:09	11:19:01	3444
USA	5	308	349	01:03:41	06:04:29	04:02:24	11:19:24	4592
USA	70	313	354	01:22:10	05:34:45	04:12:02	11:20:15	3251
USA	3	314	355	01:09:50	05:40:40	04:22:19	11:20:19	4823
USA	71	316	357	01:19:15	05:49:39	04:00:25	11:20:37	3246
USA	6	317	358	01:21:04	05:36:59	04:12:18	11:20:51	3981
USA	73	319	360	01:22:03	05:46:32	03:59:11	11:21:08	3240
USA	22	322	365	01:17:34	05:50:00	04:02:05	11:22:06	3978
USA	74	326	369	01:06:59	05:41:47	04:24:58	11:23:31	3212
USA	9	328	371	01:14:16	05:24:59	04:35:25	11:23:48	4539
USA	50	333	376	01:25:54	05:37:39	04:12:28	11:24:23	3379
USA	24	335	380	01:14:29	05:35:50	04:19:14	11:25:17	3940
USA	51	336	381	01:19:01	05:51:27	04:02:43	11:25:31	3366
USA	1	338	383	01:19:40	05:20:13	04:31:27	11:25:36	5000
USA	52	342	389	01:01:14	05:55:16	04:20:00	11:26:27	3354
USA	11	350	397	00:59:58	05:41:41	04:24:44	11:27:06	4500
USA	82	351	398	01:07:31	05:37:43	04:32:19	11:27:10	3168
USA	42	356	403	01:09:30	05:41:16	04:26:49	11:27:48	3492
USA	59	359	406	00:54:49	05:31:16	04:53:08	11:28:07	3601
USA	60	362	409	01:09:05	06:12:13	03:54:33	11:28:39	3594
USA	54	365	412	01:12:42	05:45:03	04:21:13	11:29:29	3684
USA	55	366	413	01:00:16	05:22:48	04:59:14	11:29:29	3318
USA	86	367	415	01:15:45	05:37:49	04:27:22	11:29:45	3137
USA	62	368	416	01:04:23	05:23:07	04:54:34	11:29:51	3580
USA	28	371	419	01:09:17	05:42:03	04:29:38	11:30:14	3880
USA	4	372	420	01:19:19	05:37:54	04:22:18	11:30:20	4703
USA	63	374	422	01:14:11	05:41:18	04:23:55	11:30:28	3572
USA	45	376	424	01:07:51	05:51:56	04:16:10	11:30:34	3459
USA	55	377	425	01:08:05	05:34:37	04:38:23	11:30:36	3671
USA	64	378	427	01:14:13	05:50:36	04:17:13	11:31:12	3564
USA	88	380	429	01:19:20	05:25:05	04:37:36	11:31:24	3117
USA	29	383	434	01:15:44	05:44:05	04:19:39	11:32:21	3855
USA	57	389	442	01:03:47	06:02:58	04:17:14	11:33:06	3641
USA	58	391	444	01:14:51	05:59:27	04:09:22	11:33:20	3272
USA	67	394	447	01:23:52	05:47:23	04:08:54	11:33:54	3531
USA	69	399	453	01:10:44	05:47:40	04:27:57	11:35:24	3513
USA	32	402	457	01:08:22	05:40:14	04:35:59	11:35:37	3816
USA	11	407	464	01:18:11	05:55:57	04:08:31	11:36:21	3795
USA	33	411	470	01:11:03	05:44:22	04:30:14	11:37:10	3797
USA	98	413	472	01:11:09	05:40:43	04:34:12	11:37:21	3046
USA	5	415	475	01:14:04	05:35:53	04:37:24	11:37:42	4614
USA	49	416	476	01:08:19	05:38:03	04:41:48	11:38:13	3367
USA	60	418	480	01:04:01	05:32:29	04:52:20	11:38:55	3571
USA	99	419	481	01:06:00	05:45:57	04:36:21	11:39:12	3023
USA	71	421	484	01:15:24	06:15:46	03:53:54	11:39:39	3462
USA	61	423	486	01:14:11	05:29:39	04:44:35	11:39:51	3560
USA	102	427	492	01:13:18	05:40:50	04:36:21	11:40:27	3008
USA	63	429	495	01:17:49	05:41:55	04:29:19	11:40:51	3182
USA	73	434	502	01:15:46	05:56:36	04:20:28	11:41:24	3441
USA	104	443	513	01:14:34	05:41:16	04:31:39	11:43:00	2978
USA	67	447	517	01:14:15	06:10:19	04:09:37	11:43:44	3147
USA	76	449	519	01:05:24	05:52:02	04:36:06	11:44:09	3408
USA	106	451	521	01:07:40	05:42:10	04:41:23	11:44:14	2963
USA	40	453	525	01:06:45	05:43:45	04:43:33	11:44:41	3707
USA	65	454	527	01:19:59	05:32:42	04:42:47	11:44:56	3499
USA	52	458	532	00:57:33	06:21:56	04:13:35	11:45:17	3282
USA	69	459	533	01:10:52	05:32:53	04:49:24	11:45:23	3127
USA	70	461	536	01:19:27	06:00:32	04:12:36	11:45:35	3125
USA	13	464	540	01:34:11	05:57:34	04:01:31	11:45:47	3682
USA	78	465	541	01:21:00	05:36:52	04:38:53	11:45:47	3389
